%AA,%AU,%GC,%GG,%GU,%UA,%UG,%AAC,%AAU,%CAA,%CAG,%CUG,%GCU,%GGC,%GUG,%UGC,%UGG,Npb,Nmfe,NQ,A..(,A...,U...,G...,C...,%(G-C)/n_stems,%(A-U)/n_stems,%(G-U)/n_stems
2.63,1.32,7.89,5.26,11.84,2.63,10.53,0.0,0.0,1.33,4.0,4.0,4.0,4.0,6.67,1.33,1.33,0.2987,-0.3688,0.1715,0,4,7,5,4,15.5844,7.7922,3.8961
11.59,4.35,2.9,2.9,10.14,8.7,8.7,1.47,0.0,2.94,2.94,0.0,0.0,0.0,1.47,0.0,1.47,0.2857,-0.21,0.0622,1,5,3,2,3,5.7143,14.2857,8.5714
8.57,4.29,4.29,15.71,5.71,0.0,8.57,1.45,0.0,0.0,1.45,0.0,2.9,2.9,0.0,0.0,5.8,0.2817,-0.2718,0.4086,0,1,10,5,2,7.0422,4.2254,2.8169
10.87,2.17,5.43,7.61,4.35,2.17,5.43,2.2,1.1,2.2,4.4,4.4,1.1,1.1,0.0,1.1,2.2,0.3548,-0.3946,0.0715,2,3,3,1,2,16.129,12.9032,6.4516
8.79,7.69,5.49,14.29,3.3,3.3,8.79,1.11,2.22,0.0,2.22,1.11,2.22,2.22,1.11,2.22,3.33,0.1957,-0.1576,0.2391,2,16,6,18,1,8.6957,8.6957,2.1739
6.41,1.28,6.41,15.38,3.85,3.85,6.41,1.3,0.0,0.0,2.6,2.6,2.6,1.3,1.3,1.3,1.3,0.2785,-0.3165,0.2507,1,7,1,7,3,17.7215,7.5949,1.2658
6.45,1.61,4.84,11.29,6.45,0.0,8.06,3.28,0.0,3.28,1.64,4.92,0.0,3.28,0.0,0.0,3.28,0.3175,-0.4651,0.1052,1,3,3,0,2,20.6349,7.9365,3.1746
0.0,5.19,6.49,15.58,3.9,2.6,7.79,0.0,0.0,0.0,5.26,2.63,1.32,3.95,1.32,0.0,3.95,0.3333,-0.3333,0.2124,1,3,3,3,3,16.6667,7.6923,7.6923
